image_name,label,split,RL_edge_density,RL_mean_edge_strength,RL_std_edge_strength,RL_thin_edge_ratio,RL_thick_edge_ratio,RL_orientation_entropy,LL_edge_density,LL_mean_edge_strength,LL_std_edge_strength,LL_thin_edge_ratio,LL_thick_edge_ratio,LL_orientation_entropy,RL_missing_edge_ratio,RL_low_gradient_area_ratio,RL_edge_gap_count,RL_mean_gap_length,LL_missing_edge_ratio,LL_low_gradient_area_ratio,LL_edge_gap_count,LL_mean_gap_length,RL_num_opacity_regions,RL_largest_patch_ratio,RL_mean_patch_edge_strength,RL_patch_irregularity,RL_patch_edge_blur,LL_num_opacity_regions,LL_largest_patch_ratio,LL_mean_patch_edge_strength,LL_patch_irregularity,LL_patch_edge_blur,RL_lower_zone_edge_density_ratio,RL_lower_zone_opacity_ratio,RL_upper_vs_lower_edge_drop,LL_lower_zone_edge_density_ratio,LL_lower_zone_opacity_ratio,LL_upper_vs_lower_edge_drop,heart_lung_edge_density,border_gradient_mean,border_continuity_score,edge_density_diff,mean_gradient_diff,opacity_area_diff,missing_edge_diff
train_NORMAL2-IM-1337-0001.jpeg,0,train,0.28834339453091984,75.09338442142267,37.35887279451944,0.8057454062977305,0.515888091605091,2.855354148920895,0.2852308200993883,77.5977527970922,40.19836865681056,0.8064098192976474,0.5259168133503195,2.871345218925529,0.0,0.0465677006641725,1,159844.0,0.0,0.04092717035077653,1,146820.0,468,0.07477167680200719,77.79064977266131,0.6741801181013822,48.7553575031888,363,0.08451409621799298,79.1875132445381,0.6315141711790672,56.49695864353946,0.8382024857504679,0.161319029020616,0.06660146346189008,0.8925434853309523,0.14590397217195764,0.05007493012183589,0.2859306434701565,48.394067474796316,0.27,0.003112574431531512,3.0682706546077654,0.01743924915064557,0.0
train_IM-0431-0001.jpeg,0,train,0.2584087100815045,64.8576498898492,28.294823778270903,0.8060248833347761,0.472447493858693,2.866417783063473,0.2528225312214853,63.625548795830206,28.348477734411627,0.801519069166128,0.4647227858961962,2.861351068779963,0.0,0.05826717532414713,1,364395.0,0.0,0.06404183747122993,1,274017.0,832,0.06883551058257008,54.10754324257658,0.628309494179443,32.529078487783465,528,0.03433614338050036,57.30211736900375,0.6474302321524847,32.27132029509297,0.8836494920887833,0.14000043741023976,0.042189874530761146,0.8730968900478172,0.2226276190373385,0.03401996806883262,0.27526275080758905,37.556821365224046,0.29,0.00558617886001922,1.1723024725616824,0.034617590700570466,0.0
train_IM-0213-0001.jpeg,0,train,0.2462483241793885,63.149885294033474,28.7760931390861,0.8080022314510631,0.4588301436563035,2.860169633181512,0.22058138070042832,62.49628603609276,28.911707709313248,0.8039235283199361,0.41398022171831694,2.8598124433599628,0.0,0.06391904164684513,1,296050.0,0.0,0.07359221466364324,1,247293.0,698,0.09269354933081653,59.33977622006215,0.6500530173510846,35.69020993086671,403,0.05152116402116402,57.50226177722055,0.6635361425008678,36.62854558217472,0.9140224293691366,0.11107671013331391,0.01050555095431946,0.7147037965576233,0.1366906474820144,0.07601799140055382,0.2568301161156719,34.992463248275136,0.24,0.025666943478960175,2.111253043179758,0.013761353912321306,0.0
train_IM-0717-0001.jpeg,0,train,0.3005907198364623,81.43835203717482,41.561165419590196,0.8033803380338034,0.5388589938222429,2.8607552876008495,0.30340024910619284,81.20340143964935,43.26090910612522,0.8029650805258697,0.5354875472116747,2.8599681119258484,0.0,0.03725067263899953,1,185901.0,0.0,0.03904512654493745,1,137914.0,638,0.03868989463241594,84.30104714574249,0.6919814047394537,57.17946289989128,343,0.04212113418957284,93.0041426784697,0.6668056905648246,61.879950854978425,0.9027832695848657,0.20060066560242432,0.03827442641568407,0.9285586314956773,0.09160627170705266,0.026088438075971387,0.339689656909668,50.34047085906,0.33,0.0028095292697305485,0.44382664745025124,0.002278299305556869,0.0
train_IM-0656-0001.jpeg,0,train,0.26697888487034543,67.7523856219454,34.84737324402099,0.8010604941709139,0.48929699191012255,2.8642542329965432,0.2598267121462853,68.95362056911236,34.32178766521789,0.7977816931919933,0.47492429444675843,2.8546509668783058,0.0,0.05205899178730377,1,226503.0,0.0,0.05676696948887963,1,197061.0,641,0.07215278653130747,63.633228544022835,0.6579607166062186,45.067362945088924,593,0.04912699395481307,64.63615563250218,0.6565168573467428,39.5976878982399,0.8503675554070982,0.0970068367517092,0.07488194044411631,0.7737806389562744,0.12280629873943268,0.10551626926569513,0.305983219629364,42.161539213483174,0.27,0.007152172724060157,0.3909691291993198,0.007139817781178004,0.0
train_IM-0624-0001.jpeg,0,train,0.2688757074134715,69.13005713462283,34.8450383092728,0.8103202553562384,0.4936930546010774,2.8600881367691,0.260820609991619,70.45168848321984,37.44179751306541,0.7949480978526622,0.4771781510767773,2.8447328117571478,0.0,0.05236522328455202,1,230599.0,0.0,0.05747549466166235,1,202613.0,718,0.07997137093326324,68.76775607527009,0.6427869062809605,45.77863618282272,427,0.09205990598695478,74.38595222617607,0.6329231680532953,52.638997404715965,0.8531322603450154,0.11898665667478507,0.0650381638867964,0.8568007790044245,0.10510263296400761,0.05895684187305522,0.29946949602122014,42.73085614014668,0.33,0.008055097421852508,0.17820783394098072,0.01859429022460274,0.0
train_IM-0486-0001.jpeg,0,train,0.2786345484453906,66.20999092847813,29.67506642092914,0.8034520949091455,0.5030166405581896,2.868519068293684,0.2559863788192085,65.16721790019203,31.260825622689627,0.7982008953158318,0.4706103503622193,2.8604721995541653,0.0,0.05167909325564427,1,275576.0,0.0,0.062130370027618315,1,205673.0,570,0.05564374612622555,60.863907368057454,0.6478847479651908,37.32432570004969,394,0.04896828954408086,66.45210609222227,0.6536370157992402,44.329255537057094,0.8497471213575916,0.23904053703222936,0.05402249326570854,0.880400281818875,0.10317554407655179,0.03202739471015595,0.3003796440562663,41.18007960784374,0.32,0.022648169626182102,2.262779153623214,0.00018266655186330305,0.0
train_IM-0409-0001.jpeg,0,train,0.3317171796482412,81.02870150572718,36.67611550778686,0.8165571927332979,0.5726680276381909,2.867035756406674,0.31111039052282285,83.34956589372166,40.031709139644285,0.8071431053052149,0.5513148934790363,2.8597020170271685,0.0,0.030670932788944723,1,67968.0,0.0,0.03526919376979366,1,63643.0,276,0.05613026067839196,81.27877119931385,0.70342693066196,45.84142523824282,241,0.1182269204578618,85.80411735579105,0.7230379587948468,51.79025203978896,0.9703554924523768,0.17683612290781914,0.0014848187760785891,0.9021420727776791,0.16798138360810919,0.030392988414545408,0.3517479659694617,56.67445945923806,0.35,0.020606789125418357,0.3220288798060267,0.002012593159573084,0.0
train_NORMAL2-IM-1111-0001.jpeg,0,train,0.28866390828108096,75.6005494932196,37.35208768532809,0.8033592568589328,0.5234675837727107,2.870639177545457,0.28403363684459665,76.93181378467948,39.53341035889292,0.7888502197604692,0.520387232107222,2.8407804931568976,0.0,0.0407833648770419,1,227902.0,0.0,0.04481664021385014,1,154145.0,541,0.040739712957448736,73.30146425719772,0.6567773952968168,48.70797356813527,297,0.058502492133767715,79.38273353067163,0.6535624467598246,55.92357990689568,0.8880321074579914,0.13859407817698555,0.05158958879967074,0.9551167974059513,0.16364961946084358,0.012617141350302452,0.2933923490357256,46.11508997429374,0.32,0.004630271436484312,0.3353431991333409,0.0012415848412736796,0.0
train_IM-0367-0001.jpeg,0,train,0.2970264498110728,75.2375116113939,38.65576177859258,0.8040617199909236,0.5347419679603022,2.8634534102696505,0.29818120740954024,75.85575906665194,38.993673854641216,0.8062605616802124,0.5362990690085421,2.8625471973574297,0.0,0.04096582460308434,1,166693.0,0.0,0.04172665322967655,1,146108.0,541,0.05162747006019554,73.51106740921509,0.6637946187344882,52.04690184970008,461,0.07149438525770227,77.61154743977517,0.6350520769154638,50.85958969891165,0.9041830217156274,0.13140140854553534,0.04594108015973225,0.8971746562894071,0.1548521225940581,0.047535139722452324,0.31064464571124134,44.59812041217373,0.33,0.0011547575984674485,0.43191422328886375,0.006189230104097138,0.0
