class,x,y,landmark_index
RL,644,118,0
RL,585,130,1
RL,530,163,2
RL,488,203,3
RL,463,249,4
RL,452,300,5
RL,445,349,6
RL,432,392,7
RL,415,438,8
RL,401,486,9
RL,387,534,10
RL,375,579,11
RL,366,622,12
RL,362,670,13
RL,352,713,14
RL,347,760,15
RL,347,804,16
RL,340,850,17
RL,336,898,18
RL,330,942,19
RL,327,988,20
RL,337,1035,21
RL,370,984,22
RL,415,936,23
RL,473,900,24
RL,538,872,25
RL,603,862,26
RL,669,860,27
RL,731,861,28
RL,770,861,29
RL,750,808,30
RL,718,751,31
RL,697,698,32
RL,696,647,33
RL,708,595,34
RL,717,542,35
RL,729,489,36
RL,742,430,37
RL,759,377,38
RL,763,324,39
RL,763,270,40
RL,760,218,41
RL,746,165,42
RL,706,124,43
LL,1034,85,0
LL,1089,105,1
LL,1140,135,2
LL,1189,181,3
LL,1227,233,4
LL,1250,278,5
LL,1267,325,6
LL,1291,370,7
LL,1313,412,8
LL,1330,456,9
LL,1352,501,10
LL,1372,548,11
LL,1390,595,12
LL,1407,639,13
LL,1420,689,14
LL,1436,734,15
LL,1452,781,16
LL,1465,832,17
LL,1476,878,18
LL,1479,922,19
LL,1476,974,20
LL,1469,1016,21
LL,1450,991,22
LL,1420,957,23
LL,1386,941,24
LL,1348,928,25
LL,1296,921,26
LL,1250,911,27
LL,1235,880,28
LL,1234,847,29
LL,1240,806,30
LL,1237,760,31
LL,1219,707,32
LL,1192,659,33
LL,1157,618,34
LL,1115,580,35
LL,1076,542,36
LL,1050,502,37
LL,1033,462,38
LL,1014,416,39
LL,998,372,40
LL,984,333,41
LL,973,292,42
LL,944,264,43
LL,904,245,44
LL,889,209,45
LL,885,171,46
LL,893,133,47
LL,930,101,48
LL,981,83,49
H,750,807,0
H,714,756,1
H,700,702,2
H,697,643,3
H,709,575,4
H,731,514,5
H,766,473,6
H,807,446,7
H,840,435,8
H,878,431,9
H,925,434,10
H,973,440,11
H,1023,474,12
H,1075,543,13
H,1131,631,14
H,1176,708,15
H,1200,785,16
H,1208,860,17
H,1181,905,18
H,1128,924,19
H,1071,924,20
H,1029,919,21
H,985,905,22
H,933,888,23
H,878,875,24
H,815,849,25
