class,x,y,landmark_index
RL,647,120,0
RL,601,127,1
RL,554,159,2
RL,502,193,3
RL,456,231,4
RL,420,273,5
RL,394,317,6
RL,366,355,7
RL,341,399,8
RL,321,446,9
RL,304,491,10
RL,288,536,11
RL,273,578,12
RL,262,622,13
RL,248,663,14
RL,237,707,15
RL,227,748,16
RL,215,790,17
RL,204,834,18
RL,185,873,19
RL,170,911,20
RL,174,946,21
RL,212,898,22
RL,267,856,23
RL,333,832,24
RL,403,816,25
RL,470,824,26
RL,532,840,27
RL,589,856,28
RL,632,870,29
RL,626,823,30
RL,605,764,31
RL,593,710,32
RL,601,660,33
RL,625,609,34
RL,649,559,35
RL,674,504,36
RL,700,443,37
RL,727,388,38
RL,743,335,39
RL,753,283,40
RL,759,231,41
RL,750,178,42
RL,706,133,43
LL,1089,133,0
LL,1132,159,1
LL,1175,195,2
LL,1225,239,3
LL,1266,284,4
LL,1296,330,5
LL,1322,379,6
LL,1350,426,7
LL,1373,476,8
LL,1391,527,9
LL,1408,575,10
LL,1424,626,11
LL,1442,674,12
LL,1456,720,13
LL,1465,772,14
LL,1476,819,15
LL,1487,867,16
LL,1494,919,17
LL,1502,967,18
LL,1505,1014,19
LL,1502,1066,20
LL,1493,1106,21
LL,1469,1070,22
LL,1430,1027,23
LL,1387,1005,24
LL,1338,986,25
LL,1279,985,26
LL,1234,978,27
LL,1236,938,28
LL,1245,892,29
LL,1242,848,30
LL,1235,802,31
LL,1221,754,32
LL,1205,709,33
LL,1178,666,34
LL,1146,628,35
LL,1117,589,36
LL,1098,549,37
LL,1084,509,38
LL,1065,469,39
LL,1050,431,40
LL,1046,395,41
LL,1047,353,42
LL,1028,317,43
LL,995,292,44
LL,981,251,45
LL,974,209,46
LL,977,169,47
LL,1005,138,48
LL,1044,125,49
H,621,879,0
H,586,808,1
H,585,737,2
H,599,669,3
H,633,600,4
H,678,540,5
H,734,511,6
H,794,496,7
H,847,496,8
H,903,502,9
H,955,509,10
H,1000,514,11
H,1054,544,12
H,1109,607,13
H,1169,688,14
H,1214,757,15
H,1251,832,16
H,1273,909,17
H,1245,980,18
H,1181,1016,19
H,1108,1039,20
H,1033,1061,21
H,949,1055,22
H,862,1035,23
H,780,1001,24
H,693,947,25
