class,x,y,landmark_index
RL,443,106,0
RL,402,118,1
RL,363,146,2
RL,329,177,3
RL,302,210,4
RL,282,245,5
RL,269,278,6
RL,258,308,7
RL,246,339,8
RL,233,373,9
RL,221,407,10
RL,208,441,11
RL,199,472,12
RL,192,507,13
RL,182,540,14
RL,178,573,15
RL,175,603,16
RL,168,635,17
RL,163,669,18
RL,160,700,19
RL,158,736,20
RL,163,775,21
RL,182,745,22
RL,209,713,23
RL,247,686,24
RL,294,663,25
RL,343,650,26
RL,392,638,27
RL,437,623,28
RL,469,611,29
RL,460,570,30
RL,436,532,31
RL,420,496,32
RL,417,463,33
RL,429,429,34
RL,446,393,35
RL,468,358,36
RL,491,316,37
RL,514,277,38
RL,525,240,39
RL,529,205,40
RL,530,169,41
RL,520,135,42
RL,488,109,43
LL,768,77,0
LL,810,86,1
LL,854,107,2
LL,896,137,3
LL,924,171,4
LL,942,204,5
LL,954,240,6
LL,966,276,7
LL,976,309,8
LL,984,343,9
LL,997,375,10
LL,1008,408,11
LL,1019,440,12
LL,1026,470,13
LL,1029,506,14
LL,1032,538,15
LL,1038,571,16
LL,1044,609,17
LL,1049,642,18
LL,1050,674,19
LL,1050,710,20
LL,1044,742,21
LL,1025,721,22
LL,1001,691,23
LL,975,674,24
LL,944,661,25
LL,902,657,26
LL,866,649,27
LL,858,625,28
LL,864,600,29
LL,877,576,30
LL,891,545,31
LL,894,512,32
LL,888,479,33
LL,869,447,34
LL,842,417,35
LL,805,388,36
LL,775,360,37
LL,759,332,38
LL,745,301,39
LL,734,270,40
LL,723,247,41
LL,713,222,42
LL,688,206,43
LL,658,195,44
LL,650,170,45
LL,654,142,46
LL,668,115,47
LL,695,90,48
LL,730,77,49
H,454,579,0
H,429,542,1
H,416,502,2
H,411,462,3
H,422,417,4
H,449,382,5
H,493,363,6
H,543,353,7
H,587,355,8
H,628,356,9
H,670,357,10
H,710,360,11
H,756,378,12
H,801,417,13
H,836,471,14
H,858,514,15
H,863,552,16
H,857,590,17
H,826,624,18
H,777,636,19
H,722,637,20
H,675,645,21
H,627,643,22
H,581,636,23
H,539,628,24
H,495,609,25
