class,x,y,landmark_index
RL,305,30,0
RL,278,37,1
RL,248,53,2
RL,221,70,3
RL,197,87,4
RL,179,110,5
RL,169,131,6
RL,161,151,7
RL,153,173,8
RL,147,198,9
RL,145,223,10
RL,142,247,11
RL,139,267,12
RL,137,290,13
RL,129,312,14
RL,122,333,15
RL,117,354,16
RL,111,376,17
RL,107,399,18
RL,104,420,19
RL,103,447,20
RL,108,472,21
RL,122,451,22
RL,138,426,23
RL,163,405,24
RL,195,387,25
RL,230,379,26
RL,266,373,27
RL,300,367,28
RL,324,364,29
RL,320,341,30
RL,308,317,31
RL,299,293,32
RL,299,271,33
RL,309,249,34
RL,319,226,35
RL,329,201,36
RL,341,172,37
RL,355,146,38
RL,361,121,39
RL,365,95,40
RL,367,72,41
RL,362,49,42
RL,338,32,43
LL,546,30,0
LL,578,39,1
LL,610,55,2
LL,637,75,3
LL,658,97,4
LL,672,118,5
LL,679,141,6
LL,685,164,7
LL,692,185,8
LL,699,207,9
LL,707,228,10
LL,713,250,11
LL,718,271,12
LL,722,291,13
LL,722,315,14
LL,725,337,15
LL,731,361,16
LL,736,388,17
LL,742,412,18
LL,745,432,19
LL,743,455,20
LL,734,471,21
LL,713,456,22
LL,686,441,23
LL,656,434,24
LL,624,428,25
LL,587,432,26
LL,561,430,27
LL,559,409,28
LL,568,389,29
LL,585,368,30
LL,602,343,31
LL,609,318,32
LL,610,294,33
LL,595,271,34
LL,577,251,35
LL,557,230,36
LL,539,210,37
LL,526,190,38
LL,514,171,39
LL,503,153,40
LL,496,139,41
LL,491,124,42
LL,479,113,43
LL,462,106,44
LL,459,91,45
LL,465,72,46
LL,476,54,47
LL,495,37,48
LL,519,27,49
H,307,338,0
H,292,307,1
H,288,274,2
H,291,244,3
H,305,211,4
H,325,188,5
H,353,176,6
H,384,171,7
H,409,175,8
H,435,181,9
H,463,188,10
H,486,194,11
H,516,212,12
H,552,246,13
H,582,288,14
H,598,325,15
H,601,357,16
H,595,389,17
H,573,416,18
H,541,432,19
H,502,436,20
H,462,439,21
H,425,427,22
H,396,413,23
H,367,395,24
H,335,371,25
