class,x,y,landmark_index
RL,405,158,0
RL,365,174,1
RL,323,204,2
RL,284,242,3
RL,258,279,4
RL,240,322,5
RL,223,361,6
RL,206,400,7
RL,188,441,8
RL,172,482,9
RL,161,525,10
RL,147,566,11
RL,142,604,12
RL,141,646,13
RL,136,684,14
RL,137,723,15
RL,140,760,16
RL,138,797,17
RL,142,837,18
RL,148,877,19
RL,152,921,20
RL,158,959,21
RL,180,910,22
RL,215,862,23
RL,260,822,24
RL,310,786,25
RL,364,766,26
RL,419,758,27
RL,469,754,28
RL,502,751,29
RL,492,713,30
RL,474,674,31
RL,465,633,32
RL,469,592,33
RL,482,550,34
RL,494,506,35
RL,505,460,36
RL,518,409,37
RL,531,364,38
RL,532,319,39
RL,528,277,40
RL,519,234,41
RL,500,192,42
RL,457,161,43
LL,795,149,0
LL,848,161,1
LL,898,183,2
LL,949,212,3
LL,995,246,4
LL,1027,278,5
LL,1052,315,6
LL,1075,352,7
LL,1095,391,8
LL,1112,430,9
LL,1130,467,10
LL,1146,505,11
LL,1162,544,12
LL,1177,578,13
LL,1188,617,14
LL,1200,653,15
LL,1214,693,16
LL,1229,735,17
LL,1245,774,18
LL,1255,811,19
LL,1260,852,20
LL,1254,879,21
LL,1222,844,22
LL,1174,803,23
LL,1118,780,24
LL,1058,761,25
LL,992,757,26
LL,938,751,27
LL,919,728,28
LL,919,707,29
LL,928,682,30
LL,934,651,31
LL,926,619,32
LL,915,591,33
LL,893,563,34
LL,865,536,35
LL,832,511,36
LL,805,485,37
LL,790,460,38
LL,777,432,39
LL,767,402,40
LL,760,378,41
LL,757,348,42
LL,743,325,43
LL,719,305,44
LL,708,269,45
LL,700,231,46
LL,700,197,47
LL,719,166,48
LL,751,149,49
H,489,737,0
H,455,688,1
H,451,638,2
H,462,585,3
H,486,531,4
H,517,485,5
H,552,456,6
H,589,441,7
H,618,437,8
H,648,441,9
H,686,444,10
H,725,447,11
H,771,467,12
H,823,508,13
H,881,567,14
H,922,617,15
H,948,670,16
H,966,724,17
H,960,771,18
H,924,803,19
H,874,818,20
H,823,829,21
H,757,822,22
H,695,815,23
H,628,804,24
H,553,777,25
