class,x,y,landmark_index
RL,437,56,0
RL,399,63,1
RL,364,88,2
RL,333,119,3
RL,303,150,4
RL,278,183,5
RL,257,216,6
RL,237,245,7
RL,216,278,8
RL,198,313,9
RL,184,350,10
RL,167,385,11
RL,156,417,12
RL,146,453,13
RL,134,487,14
RL,127,523,15
RL,125,556,16
RL,118,590,17
RL,113,627,18
RL,109,659,19
RL,107,690,20
RL,116,722,21
RL,144,683,22
RL,184,647,23
RL,233,620,24
RL,287,603,25
RL,340,598,26
RL,392,596,27
RL,444,593,28
RL,484,593,29
RL,485,557,30
RL,477,517,31
RL,475,479,32
RL,484,442,33
RL,504,406,34
RL,522,368,35
RL,532,330,36
RL,537,287,37
RL,542,246,38
RL,541,209,39
RL,536,170,40
RL,530,131,41
RL,518,94,42
RL,484,63,43
LL,773,47,0
LL,807,62,1
LL,843,87,2
LL,882,118,3
LL,915,151,4
LL,939,182,5
LL,956,216,6
LL,976,252,7
LL,997,287,8
LL,1012,323,9
LL,1031,360,10
LL,1047,397,11
LL,1059,432,12
LL,1070,465,13
LL,1079,503,14
LL,1087,537,15
LL,1095,573,16
LL,1100,613,17
LL,1106,652,18
LL,1109,685,19
LL,1108,724,20
LL,1104,756,21
LL,1089,736,22
LL,1066,708,23
LL,1043,692,24
LL,1015,675,25
LL,979,667,26
LL,952,661,27
LL,956,634,28
LL,971,601,29
LL,982,566,30
LL,981,532,31
LL,969,497,32
LL,954,463,33
LL,930,433,34
LL,898,405,35
LL,864,380,36
LL,835,353,37
LL,815,326,38
LL,793,294,39
LL,770,265,40
LL,749,244,41
LL,734,217,42
LL,715,197,43
LL,693,181,44
LL,687,151,45
LL,685,118,46
LL,691,87,47
LL,712,59,48
LL,741,44,49
H,479,586,0
H,459,539,1
H,459,491,2
H,468,447,3
H,491,402,4
H,521,362,5
H,555,337,6
H,599,324,7
H,638,319,8
H,675,320,9
H,716,321,10
H,758,319,11
H,809,338,12
H,862,382,13
H,916,441,14
H,959,493,15
H,983,548,16
H,989,606,17
H,960,657,18
H,906,686,19
H,845,698,20
H,782,707,21
H,715,701,22
H,651,686,23
H,590,663,24
H,529,630,25
