class,x,y,landmark_index
RL,522,168,0
RL,486,179,1
RL,451,215,2
RL,417,257,3
RL,382,301,4
RL,353,347,5
RL,331,392,6
RL,316,433,7
RL,300,477,8
RL,282,523,9
RL,271,569,10
RL,262,616,11
RL,256,659,12
RL,249,705,13
RL,236,748,14
RL,227,794,15
RL,225,838,16
RL,218,880,17
RL,213,926,18
RL,208,968,19
RL,201,1011,20
RL,205,1049,21
RL,232,997,22
RL,271,948,23
RL,324,910,24
RL,380,876,25
RL,435,859,26
RL,490,849,27
RL,543,841,28
RL,578,838,29
RL,560,795,30
RL,526,749,31
RL,503,705,32
RL,502,661,33
RL,517,616,34
RL,531,568,35
RL,542,518,36
RL,555,464,37
RL,574,414,38
RL,585,363,39
RL,591,314,40
RL,597,264,41
RL,595,215,42
RL,566,176,43
LL,864,145,0
LL,904,163,1
LL,943,193,2
LL,987,230,3
LL,1029,271,4
LL,1063,312,5
LL,1089,355,6
LL,1118,398,7
LL,1146,441,8
LL,1169,488,9
LL,1193,534,10
LL,1212,578,11
LL,1230,622,12
LL,1249,662,13
LL,1263,710,14
LL,1277,751,15
LL,1291,796,16
LL,1305,845,17
LL,1321,890,18
LL,1330,931,19
LL,1332,976,20
LL,1328,1012,21
LL,1302,976,22
LL,1258,935,23
LL,1209,913,24
LL,1157,895,25
LL,1095,892,26
LL,1048,888,27
LL,1045,861,28
LL,1061,830,29
LL,1078,792,30
LL,1087,751,31
LL,1072,707,32
LL,1052,668,33
LL,1022,632,34
LL,984,597,35
LL,943,563,36
LL,912,529,37
LL,892,493,38
LL,871,455,39
LL,857,416,40
LL,850,381,41
LL,849,342,42
LL,834,315,43
LL,805,296,44
LL,793,260,45
LL,786,221,46
LL,785,185,47
LL,801,157,48
LL,829,142,49
H,565,835,0
H,525,772,1
H,507,705,2
H,510,639,3
H,536,572,4
H,572,512,5
H,615,476,6
H,659,458,7
H,696,452,8
H,734,453,9
H,774,457,10
H,813,461,11
H,862,490,12
H,920,547,13
H,982,623,14
H,1035,689,15
H,1069,762,16
H,1082,838,17
H,1063,896,18
H,1019,932,19
H,962,952,20
H,904,962,21
H,841,960,22
H,772,945,23
H,705,925,24
H,632,888,25
