class,x,y,landmark_index
RL,659,216,0
RL,603,227,1
RL,550,270,2
RL,496,323,3
RL,446,376,4
RL,402,427,5
RL,368,478,6
RL,342,526,7
RL,311,580,8
RL,283,633,9
RL,265,692,10
RL,244,747,11
RL,232,802,12
RL,221,859,13
RL,207,915,14
RL,200,974,15
RL,197,1027,16
RL,190,1083,17
RL,182,1140,18
RL,175,1193,19
RL,167,1249,20
RL,171,1299,21
RL,203,1243,22
RL,249,1186,23
RL,309,1140,24
RL,378,1108,25
RL,447,1093,26
RL,516,1084,27
RL,585,1077,28
RL,636,1074,29
RL,632,1017,30
RL,610,956,31
RL,600,897,32
RL,613,839,33
RL,632,779,34
RL,647,719,35
RL,668,658,36
RL,695,590,37
RL,730,528,38
RL,749,468,39
RL,759,408,40
RL,764,346,41
RL,757,284,42
RL,718,230,43
LL,1096,242,0
LL,1148,264,1
LL,1199,305,2
LL,1256,354,3
LL,1306,407,4
LL,1345,455,5
LL,1377,510,6
LL,1412,563,7
LL,1443,618,8
LL,1467,674,9
LL,1486,731,10
LL,1500,789,11
LL,1510,844,12
LL,1521,899,13
LL,1531,958,14
LL,1542,1014,15
LL,1552,1071,16
LL,1562,1128,17
LL,1574,1183,18
LL,1580,1235,19
LL,1580,1288,20
LL,1571,1329,21
LL,1544,1286,22
LL,1504,1234,23
LL,1455,1202,24
LL,1395,1173,25
LL,1328,1165,26
LL,1278,1160,27
LL,1282,1127,28
LL,1302,1084,29
LL,1318,1039,30
LL,1319,995,31
LL,1307,943,32
LL,1293,893,33
LL,1273,842,34
LL,1247,793,35
LL,1213,747,36
LL,1178,701,37
LL,1148,661,38
LL,1112,616,39
LL,1080,577,40
LL,1056,545,41
LL,1040,507,42
LL,1013,476,43
LL,977,451,44
LL,965,406,45
LL,963,355,46
LL,971,307,47
LL,1001,265,48
LL,1044,240,49
H,638,1060,0
H,603,992,1
H,593,918,2
H,598,850,3
H,621,778,4
H,658,713,5
H,718,675,6
H,792,652,7
H,856,644,8
H,920,638,9
H,980,632,10
H,1040,627,11
H,1107,656,12
H,1171,726,13
H,1237,820,14
H,1286,906,15
H,1315,992,16
H,1322,1079,17
H,1281,1149,18
H,1211,1180,19
H,1132,1191,20
H,1051,1203,21
H,965,1199,22
H,875,1182,23
H,792,1159,24
H,706,1121,25
