class,x,y,landmark_index
RL,814,295,0
RL,725,315,1
RL,629,371,2
RL,533,447,3
RL,453,537,4
RL,397,630,5
RL,366,728,6
RL,346,818,7
RL,330,912,8
RL,311,1003,9
RL,308,1099,10
RL,303,1193,11
RL,306,1283,12
RL,311,1378,13
RL,308,1472,14
RL,307,1569,15
RL,304,1663,16
RL,297,1758,17
RL,293,1851,18
RL,292,1940,19
RL,294,2037,20
RL,309,2116,21
RL,346,2039,22
RL,399,1946,23
RL,470,1868,24
RL,557,1809,25
RL,643,1769,26
RL,726,1739,27
RL,805,1715,28
RL,855,1688,29
RL,832,1582,30
RL,794,1485,31
RL,788,1386,32
RL,812,1291,33
RL,845,1194,34
RL,875,1098,35
RL,916,1003,36
RL,956,901,37
RL,986,800,38
RL,1001,702,39
RL,1009,601,40
RL,1006,497,41
RL,981,400,42
RL,908,319,43
LL,1456,289,0
LL,1535,321,1
LL,1618,381,2
LL,1705,453,3
LL,1778,543,4
LL,1831,624,5
LL,1862,711,6
LL,1892,802,7
LL,1915,897,8
LL,1934,989,9
LL,1950,1081,10
LL,1961,1177,11
LL,1968,1269,12
LL,1975,1356,13
LL,1985,1457,14
LL,1990,1551,15
LL,1997,1642,16
LL,2004,1737,17
LL,2014,1829,18
LL,2022,1907,19
LL,2018,1997,20
LL,2003,2073,21
LL,1966,2026,22
LL,1912,1965,23
LL,1852,1925,24
LL,1789,1888,25
LL,1730,1871,26
LL,1702,1853,27
LL,1744,1792,28
LL,1795,1715,29
LL,1827,1638,30
LL,1831,1561,31
LL,1821,1476,32
LL,1797,1393,33
LL,1757,1310,34
LL,1704,1228,35
LL,1640,1148,36
LL,1574,1065,37
LL,1518,988,38
LL,1467,906,39
LL,1419,834,40
LL,1377,777,41
LL,1347,718,42
LL,1315,670,43
LL,1274,628,44
LL,1259,555,45
LL,1257,475,46
LL,1277,399,47
LL,1323,329,48
LL,1383,287,49
H,855,1680,0
H,802,1559,1
H,785,1432,2
H,794,1314,3
H,829,1193,4
H,884,1087,5
H,968,1020,6
H,1066,981,7
H,1150,965,8
H,1232,953,9
H,1311,951,10
H,1390,950,11
H,1491,1003,12
H,1602,1120,13
H,1707,1270,14
H,1785,1416,15
H,1815,1572,16
H,1803,1716,17
H,1721,1816,18
H,1600,1857,19
H,1485,1858,20
H,1375,1860,21
H,1274,1860,22
H,1166,1842,23
H,1059,1818,24
H,950,1771,25
