class,x,y,landmark_index
RL,581,154,0
RL,531,165,1
RL,478,195,2
RL,439,229,3
RL,421,261,4
RL,409,295,5
RL,397,326,6
RL,380,354,7
RL,358,386,8
RL,337,423,9
RL,320,459,10
RL,303,495,11
RL,294,528,12
RL,286,565,13
RL,272,597,14
RL,262,632,15
RL,254,664,16
RL,246,697,17
RL,241,734,18
RL,232,768,19
RL,226,803,20
RL,230,840,21
RL,259,797,22
RL,306,761,23
RL,364,735,24
RL,424,714,25
RL,483,708,26
RL,544,710,27
RL,610,710,28
RL,656,713,29
RL,644,674,30
RL,614,629,31
RL,592,590,32
RL,588,554,33
RL,605,514,34
RL,625,474,35
RL,642,432,36
RL,659,384,37
RL,677,342,38
RL,680,303,39
RL,678,266,40
RL,679,230,41
RL,671,189,42
RL,634,158,43
LL,997,175,0
LL,1036,198,1
LL,1071,232,2
LL,1105,270,3
LL,1129,307,4
LL,1149,340,5
LL,1164,375,6
LL,1184,412,7
LL,1205,447,8
LL,1222,485,9
LL,1236,522,10
LL,1247,562,11
LL,1251,597,12
LL,1253,632,13
LL,1255,673,14
LL,1261,711,15
LL,1268,749,16
LL,1272,793,17
LL,1276,831,18
LL,1278,865,19
LL,1280,905,20
LL,1279,940,21
LL,1263,908,22
LL,1235,868,23
LL,1203,844,24
LL,1170,823,25
LL,1124,814,26
LL,1081,803,27
LL,1080,773,28
LL,1095,742,29
LL,1113,711,30
LL,1126,679,31
LL,1123,645,32
LL,1115,610,33
LL,1093,575,34
LL,1067,544,35
LL,1032,515,36
LL,998,486,37
LL,971,460,38
LL,949,432,39
LL,932,403,40
LL,922,380,41
LL,917,349,42
LL,902,326,43
LL,874,308,44
LL,865,274,45
LL,863,238,46
LL,873,206,47
LL,906,178,48
LL,952,165,49
H,636,710,0
H,605,664,1
H,589,617,2
H,582,571,3
H,594,520,4
H,620,473,5
H,652,441,6
H,697,421,7
H,741,411,8
H,790,406,9
H,837,404,10
H,882,403,11
H,932,424,12
H,989,476,13
H,1050,544,14
H,1091,605,15
H,1111,669,16
H,1112,733,17
H,1087,789,18
H,1040,811,19
H,986,819,20
H,928,829,21
H,863,823,22
H,808,811,23
H,751,787,24
H,687,752,25
