class,x,y,landmark_index
RL,433,5,0
RL,390,14,1
RL,350,34,2
RL,318,58,3
RL,291,80,4
RL,272,103,5
RL,260,126,6
RL,246,147,7
RL,232,172,8
RL,219,201,9
RL,206,231,10
RL,190,260,11
RL,182,285,12
RL,175,315,13
RL,163,340,14
RL,157,366,15
RL,156,390,16
RL,154,416,17
RL,150,445,18
RL,144,474,19
RL,142,504,20
RL,149,536,21
RL,173,505,22
RL,208,472,23
RL,250,445,24
RL,300,427,25
RL,351,422,26
RL,395,425,27
RL,433,427,28
RL,460,430,29
RL,454,399,30
RL,444,367,31
RL,442,337,32
RL,449,312,33
RL,466,283,34
RL,479,255,35
RL,486,226,36
RL,491,191,37
RL,504,159,38
RL,513,127,39
RL,520,96,40
RL,523,64,41
RL,514,32,42
RL,480,9,43
LL,778,28,0
LL,811,41,1
LL,842,60,2
LL,870,86,3
LL,891,112,4
LL,909,137,5
LL,921,164,6
LL,932,191,7
LL,942,217,8
LL,952,246,9
LL,965,273,10
LL,977,301,11
LL,986,327,12
LL,992,353,13
LL,996,382,14
LL,1000,408,15
LL,1006,436,16
LL,1011,471,17
LL,1015,500,18
LL,1015,529,19
LL,1015,560,20
LL,1011,585,21
LL,994,563,22
LL,970,538,23
LL,942,521,24
LL,910,508,25
LL,871,504,26
LL,837,496,27
LL,830,473,28
LL,836,451,29
LL,841,420,30
LL,840,389,31
LL,833,360,32
LL,822,331,33
LL,799,304,34
LL,777,283,35
LL,757,264,36
LL,742,243,37
LL,734,222,38
LL,727,201,39
LL,720,179,40
LL,718,161,41
LL,716,138,42
LL,706,123,43
LL,687,114,44
LL,684,96,45
LL,687,75,46
LL,696,54,47
LL,717,34,48
LL,747,24,49
H,447,401,0
H,432,369,1
H,430,337,2
H,434,307,3
H,452,274,4
H,473,248,5
H,502,235,6
H,539,231,7
H,576,234,8
H,614,237,9
H,650,239,10
H,682,237,11
H,719,250,12
H,757,283,13
H,796,329,14
H,824,368,15
H,846,403,16
H,860,443,17
H,839,479,18
H,792,493,19
H,735,500,20
H,682,506,21
H,631,495,22
H,583,482,23
H,536,465,24
H,486,436,25
