class,x,y,landmark_index
RL,670,182,0
RL,618,191,1
RL,569,224,2
RL,523,259,3
RL,484,297,4
RL,452,337,5
RL,424,376,6
RL,397,410,7
RL,371,450,8
RL,349,493,9
RL,333,537,10
RL,313,579,11
RL,299,618,12
RL,286,663,13
RL,268,705,14
RL,257,750,15
RL,252,790,16
RL,242,833,17
RL,233,876,18
RL,225,915,19
RL,223,956,20
RL,233,996,21
RL,268,939,22
RL,319,883,23
RL,383,839,24
RL,455,805,25
RL,530,799,26
RL,605,803,27
RL,677,808,28
RL,726,817,29
RL,716,777,30
RL,691,727,31
RL,677,680,32
RL,677,636,33
RL,690,588,34
RL,702,542,35
RL,719,494,36
RL,742,441,37
RL,770,395,38
RL,782,353,39
RL,784,311,40
RL,784,269,41
RL,774,224,42
RL,731,187,43
LL,1104,206,0
LL,1146,224,1
LL,1189,252,2
LL,1237,290,3
LL,1278,330,4
LL,1307,364,5
LL,1328,403,6
LL,1356,444,7
LL,1381,483,8
LL,1400,523,9
LL,1422,564,10
LL,1441,608,11
LL,1456,645,12
LL,1470,684,13
LL,1481,727,14
LL,1488,764,15
LL,1494,805,16
LL,1498,851,17
LL,1501,891,18
LL,1501,930,19
LL,1495,976,20
LL,1487,1014,21
LL,1467,985,22
LL,1442,944,23
LL,1415,917,24
LL,1382,893,25
LL,1338,884,26
LL,1303,874,27
LL,1301,842,28
LL,1305,812,29
LL,1304,783,30
LL,1299,752,31
LL,1286,716,32
LL,1271,682,33
LL,1246,650,34
LL,1218,619,35
LL,1191,588,36
LL,1173,553,37
LL,1157,521,38
LL,1135,486,39
LL,1114,452,40
LL,1094,427,41
LL,1077,396,42
LL,1045,374,43
LL,1003,359,44
LL,991,327,45
LL,991,290,46
LL,1001,255,47
LL,1028,221,48
LL,1064,202,49
H,713,802,0
H,679,741,1
H,671,681,2
H,673,620,3
H,692,556,4
H,720,498,5
H,761,462,6
H,818,441,7
H,874,433,8
H,930,432,9
H,983,433,10
H,1031,437,11
H,1087,468,12
H,1145,534,13
H,1206,618,14
H,1253,688,15
H,1288,758,16
H,1312,830,17
H,1294,891,18
H,1241,928,19
H,1166,942,20
H,1093,948,21
H,1009,938,22
H,937,921,23
H,862,897,24
H,782,855,25
