class,x,y,landmark_index
RL,676,255,0
RL,623,264,1
RL,568,300,2
RL,510,344,3
RL,459,392,4
RL,416,443,5
RL,379,496,6
RL,345,544,7
RL,316,597,8
RL,291,653,9
RL,273,709,10
RL,257,765,11
RL,246,816,12
RL,240,876,13
RL,227,929,14
RL,225,989,15
RL,225,1041,16
RL,220,1096,17
RL,214,1151,18
RL,205,1200,19
RL,197,1253,20
RL,202,1302,21
RL,239,1247,22
RL,294,1200,23
RL,365,1163,24
RL,440,1139,25
RL,511,1127,26
RL,576,1122,27
RL,637,1115,28
RL,678,1109,29
RL,662,1047,30
RL,633,982,31
RL,626,922,32
RL,646,865,33
RL,682,806,34
RL,712,746,35
RL,731,685,36
RL,748,620,37
RL,769,560,38
RL,779,501,39
RL,783,441,40
RL,785,381,41
RL,776,321,42
RL,735,270,43
LL,1085,277,0
LL,1133,299,1
LL,1181,334,2
LL,1237,382,3
LL,1288,433,4
LL,1331,483,5
LL,1365,536,6
LL,1400,589,7
LL,1431,643,8
LL,1451,697,9
LL,1469,753,10
LL,1481,807,11
LL,1490,862,12
LL,1497,914,13
LL,1500,972,14
LL,1504,1025,15
LL,1507,1080,16
LL,1507,1138,17
LL,1511,1190,18
LL,1511,1241,19
LL,1506,1296,20
LL,1498,1342,21
LL,1474,1304,22
LL,1438,1256,23
LL,1396,1227,24
LL,1349,1200,25
LL,1292,1191,26
LL,1249,1182,27
LL,1252,1145,28
LL,1264,1100,29
LL,1267,1056,30
LL,1258,1013,31
LL,1242,964,32
LL,1224,918,33
LL,1190,874,34
LL,1156,832,35
LL,1128,787,36
LL,1110,740,37
LL,1092,696,38
LL,1063,656,39
LL,1038,620,40
LL,1021,591,41
LL,1014,554,42
LL,997,521,43
LL,972,493,44
LL,970,445,45
LL,967,391,46
LL,968,341,47
LL,993,297,48
LL,1036,273,49
H,673,1094,0
H,636,1016,1
H,629,936,2
H,643,861,3
H,680,781,4
H,723,710,5
H,772,674,6
H,825,655,7
H,873,654,8
H,920,659,9
H,967,662,10
H,1013,666,11
H,1065,702,12
H,1118,778,13
H,1175,871,14
H,1225,952,15
H,1260,1033,16
H,1276,1116,17
H,1246,1182,18
H,1179,1208,19
H,1100,1213,20
H,1026,1222,21
H,954,1219,22
H,888,1206,23
H,817,1187,24
H,742,1151,25
