class,x,y,landmark_index
RL,620,154,0
RL,573,167,1
RL,524,203,2
RL,480,240,3
RL,446,274,4
RL,424,310,5
RL,410,345,6
RL,393,377,7
RL,372,413,8
RL,351,452,9
RL,334,493,10
RL,314,531,11
RL,300,567,12
RL,289,608,13
RL,271,647,14
RL,259,687,15
RL,254,726,16
RL,244,765,17
RL,238,804,18
RL,231,844,19
RL,225,887,20
RL,224,931,21
RL,245,888,22
RL,278,844,23
RL,324,805,24
RL,382,774,25
RL,445,760,26
RL,508,752,27
RL,572,747,28
RL,618,750,29
RL,608,709,30
RL,580,663,31
RL,556,621,32
RL,547,579,33
RL,549,536,34
RL,555,494,35
RL,573,450,36
RL,601,401,37
RL,640,359,38
RL,667,319,39
RL,686,279,40
RL,699,239,41
RL,699,194,42
RL,668,159,43
LL,1020,146,0
LL,1062,171,1
LL,1090,204,2
LL,1121,249,3
LL,1146,293,4
LL,1162,331,5
LL,1172,373,6
LL,1189,416,7
LL,1208,456,8
LL,1225,501,9
LL,1245,544,10
LL,1260,588,11
LL,1272,629,12
LL,1282,668,13
LL,1287,719,14
LL,1293,762,15
LL,1297,806,16
LL,1301,856,17
LL,1307,896,18
LL,1309,933,19
LL,1307,977,20
LL,1302,1017,21
LL,1286,991,22
LL,1264,953,23
LL,1241,927,24
LL,1215,906,25
LL,1178,897,26
LL,1149,887,27
LL,1156,856,28
LL,1176,818,29
LL,1195,779,30
LL,1206,744,31
LL,1210,703,32
LL,1208,660,33
LL,1186,618,34
LL,1158,578,35
LL,1121,535,36
LL,1091,489,37
LL,1065,446,38
LL,1035,404,39
LL,1008,366,40
LL,982,338,41
LL,959,308,42
LL,929,289,43
LL,895,276,44
LL,886,244,45
LL,887,207,46
LL,900,174,47
LL,933,147,48
LL,975,134,49
H,604,737,0
H,567,686,1
H,549,635,2
H,540,581,3
H,549,521,4
H,575,467,5
H,626,428,6
H,693,402,7
H,754,387,8
H,813,376,9
H,871,370,10
H,926,371,11
H,994,400,12
H,1065,468,13
H,1121,556,14
H,1155,638,15
H,1166,714,16
H,1162,789,17
H,1122,846,18
H,1056,867,19
H,988,868,20
H,921,869,21
H,857,857,22
H,791,839,23
H,728,815,24
H,663,782,25
