class,x,y,landmark_index
RL,633,211,0
RL,586,218,1
RL,540,253,2
RL,496,301,3
RL,453,355,4
RL,415,412,5
RL,385,464,6
RL,361,513,7
RL,332,566,8
RL,308,619,9
RL,288,675,10
RL,270,728,11
RL,258,781,12
RL,249,838,13
RL,240,891,14
RL,238,949,15
RL,239,1000,16
RL,237,1055,17
RL,235,1109,18
RL,232,1156,19
RL,229,1209,20
RL,238,1254,21
RL,275,1199,22
RL,331,1151,23
RL,397,1119,24
RL,468,1098,25
RL,534,1095,26
RL,599,1096,27
RL,664,1098,28
RL,710,1099,29
RL,695,1038,30
RL,666,972,31
RL,651,911,32
RL,657,853,33
RL,671,793,34
RL,682,732,35
RL,690,669,36
RL,697,602,37
RL,712,539,38
RL,719,475,39
RL,724,411,40
RL,726,346,41
RL,720,281,42
RL,685,228,43
LL,1010,251,0
LL,1063,270,1
LL,1111,305,2
LL,1163,348,3
LL,1210,398,4
LL,1247,445,5
LL,1278,498,6
LL,1312,551,7
LL,1342,602,8
LL,1367,657,9
LL,1389,711,10
LL,1406,768,11
LL,1420,822,12
LL,1428,872,13
LL,1434,932,14
LL,1443,983,15
LL,1452,1037,16
LL,1461,1093,17
LL,1471,1147,18
LL,1474,1195,19
LL,1474,1249,20
LL,1469,1293,21
LL,1453,1258,22
LL,1425,1210,23
LL,1390,1180,24
LL,1348,1153,25
LL,1294,1143,26
LL,1253,1131,27
LL,1243,1091,28
LL,1231,1044,29
LL,1214,1002,30
LL,1197,960,31
LL,1176,916,32
LL,1159,874,33
LL,1138,831,34
LL,1117,791,35
LL,1091,750,36
LL,1065,706,37
LL,1043,666,38
LL,1018,621,39
LL,1001,580,40
LL,992,543,41
LL,992,499,42
LL,972,465,43
LL,936,440,44
LL,917,398,45
LL,908,352,46
LL,907,308,47
LL,926,270,48
LL,962,248,49
H,699,1076,0
H,663,1002,1
H,651,925,2
H,653,852,3
H,674,773,4
H,705,703,5
H,747,664,6
H,801,643,7
H,850,637,8
H,894,640,9
H,939,641,10
H,977,643,11
H,1016,677,12
H,1062,743,13
H,1119,830,14
H,1167,904,15
H,1212,979,16
H,1251,1059,17
H,1245,1127,18
H,1195,1160,19
H,1125,1176,20
H,1051,1195,21
H,978,1197,22
H,910,1190,23
H,840,1171,24
H,766,1138,25
