class,x,y,landmark_index
RL,511,33,0
RL,463,41,1
RL,419,69,2
RL,376,104,3
RL,340,146,4
RL,308,191,5
RL,276,236,6
RL,252,277,7
RL,232,323,8
RL,210,367,9
RL,195,411,10
RL,182,456,11
RL,170,499,12
RL,161,545,13
RL,150,588,14
RL,141,635,15
RL,132,677,16
RL,125,721,17
RL,119,767,18
RL,111,810,19
RL,106,855,20
RL,114,897,21
RL,145,857,22
RL,193,820,23
RL,247,791,24
RL,306,771,25
RL,363,762,26
RL,414,756,27
RL,463,748,28
RL,500,740,29
RL,496,687,30
RL,479,636,31
RL,475,585,32
RL,488,536,33
RL,513,488,34
RL,541,441,35
RL,567,390,36
RL,586,335,37
RL,604,284,38
RL,611,232,39
RL,615,182,40
RL,618,133,41
RL,606,86,42
RL,566,44,43
LL,890,51,0
LL,930,69,1
LL,968,99,2
LL,1007,136,3
LL,1041,177,4
LL,1069,218,5
LL,1092,259,6
LL,1113,300,7
LL,1129,341,8
LL,1142,384,9
LL,1157,425,10
LL,1168,469,11
LL,1179,510,12
LL,1188,550,13
LL,1192,594,14
LL,1193,634,15
LL,1197,675,16
LL,1199,719,17
LL,1204,761,18
LL,1206,802,19
LL,1204,847,20
LL,1199,883,21
LL,1177,858,22
LL,1144,828,23
LL,1109,812,24
LL,1075,799,25
LL,1038,795,26
LL,1013,785,27
LL,1021,749,28
LL,1033,710,29
LL,1037,672,30
LL,1034,633,31
LL,1020,596,32
LL,1005,560,33
LL,985,523,34
LL,961,487,35
LL,937,449,36
LL,920,409,37
LL,903,371,38
LL,877,336,39
LL,853,305,40
LL,836,281,41
LL,825,254,42
LL,807,231,43
LL,785,211,44
LL,777,174,45
LL,776,135,46
LL,785,97,47
LL,811,64,48
LL,848,47,49
H,503,714,0
H,477,656,1
H,475,593,2
H,487,533,3
H,516,472,4
H,555,424,5
H,601,401,6
H,654,392,7
H,705,395,8
H,753,403,9
H,802,408,10
H,846,412,11
H,899,435,12
H,948,485,13
H,994,550,14
H,1027,606,15
H,1051,665,16
H,1061,721,17
H,1036,773,18
H,979,798,19
H,911,806,20
H,842,814,21
H,767,810,22
H,695,804,23
H,627,791,24
H,560,762,25
