class,x,y,landmark_index
RL,522,191,0
RL,478,204,1
RL,429,234,2
RL,382,272,3
RL,346,311,4
RL,321,354,5
RL,302,395,6
RL,286,434,7
RL,270,474,8
RL,255,517,9
RL,244,558,10
RL,230,597,11
RL,222,635,12
RL,217,679,13
RL,206,719,14
RL,197,763,15
RL,193,803,16
RL,183,844,17
RL,172,885,18
RL,165,924,19
RL,165,964,20
RL,182,1004,21
RL,220,964,22
RL,271,929,23
RL,326,900,24
RL,384,877,25
RL,441,869,26
RL,499,865,27
RL,552,857,28
RL,591,851,29
RL,584,801,30
RL,566,751,31
RL,558,704,32
RL,566,658,33
RL,584,612,34
RL,599,564,35
RL,609,516,36
RL,618,463,37
RL,628,413,38
RL,630,365,39
RL,632,318,40
RL,629,273,41
RL,614,229,42
RL,573,196,43
LL,920,200,0
LL,959,219,1
LL,997,247,2
LL,1041,284,3
LL,1080,322,4
LL,1109,359,5
LL,1130,399,6
LL,1152,440,7
LL,1170,482,8
LL,1186,524,9
LL,1202,566,10
LL,1217,608,11
LL,1228,649,12
LL,1238,687,13
LL,1246,731,14
LL,1251,770,15
LL,1260,811,16
LL,1269,856,17
LL,1278,900,18
LL,1282,941,19
LL,1282,984,20
LL,1276,1019,21
LL,1252,985,22
LL,1214,946,23
LL,1172,921,24
LL,1128,902,25
LL,1079,896,26
LL,1046,886,27
LL,1055,855,28
LL,1078,819,29
LL,1102,783,30
LL,1119,746,31
LL,1120,703,32
LL,1108,662,33
LL,1081,626,34
LL,1050,590,35
LL,1015,555,36
LL,987,517,37
LL,967,480,38
LL,943,441,39
LL,924,405,40
LL,908,377,41
LL,895,348,42
LL,871,328,43
LL,839,316,44
LL,823,289,45
LL,816,260,46
LL,820,232,47
LL,844,207,48
LL,879,194,49
H,584,836,0
H,556,772,1
H,551,707,2
H,559,647,3
H,582,581,4
H,610,526,5
H,643,494,6
H,685,477,7
H,725,472,8
H,765,470,9
H,809,468,10
H,852,466,11
H,909,487,12
H,974,538,13
H,1037,608,14
H,1083,671,15
H,1109,742,16
H,1117,812,17
H,1087,870,18
H,1028,904,19
H,963,916,20
H,900,928,21
H,833,929,22
H,770,927,23
H,708,914,24
H,641,886,25
