class,x,y,landmark_index
RL,611,108,0
RL,563,119,1
RL,509,155,2
RL,450,197,3
RL,396,246,4
RL,350,295,5
RL,314,348,6
RL,283,398,7
RL,256,451,8
RL,233,506,9
RL,216,559,10
RL,200,613,11
RL,185,663,12
RL,178,718,13
RL,165,769,14
RL,158,826,15
RL,151,879,16
RL,139,930,17
RL,135,984,18
RL,129,1037,19
RL,122,1089,20
RL,127,1133,21
RL,161,1077,22
RL,212,1019,23
RL,277,974,24
RL,351,941,25
RL,427,923,26
RL,501,914,27
RL,569,910,28
RL,615,906,29
RL,601,849,30
RL,574,790,31
RL,568,732,32
RL,583,677,33
RL,608,621,34
RL,631,565,35
RL,654,507,36
RL,673,444,37
RL,697,388,38
RL,709,331,39
RL,713,275,40
RL,713,219,41
RL,705,164,42
RL,667,119,43
LL,1046,133,0
LL,1099,152,1
LL,1151,188,2
LL,1207,233,3
LL,1258,280,4
LL,1294,326,5
LL,1322,376,6
LL,1350,426,7
LL,1375,478,8
LL,1393,530,9
LL,1408,583,10
LL,1422,636,11
LL,1437,688,12
LL,1449,736,13
LL,1456,791,14
LL,1461,842,15
LL,1468,894,16
LL,1473,948,17
LL,1481,1001,18
LL,1485,1050,19
LL,1486,1099,20
LL,1482,1135,21
LL,1459,1088,22
LL,1418,1033,23
LL,1362,1002,24
LL,1298,982,25
LL,1226,978,26
LL,1173,972,27
LL,1171,939,28
LL,1185,902,29
LL,1196,862,30
LL,1200,817,31
LL,1185,774,32
LL,1165,735,33
LL,1137,696,34
LL,1105,659,35
LL,1078,619,36
LL,1058,578,37
LL,1041,538,38
LL,1016,499,39
LL,991,466,40
LL,976,438,41
LL,972,402,42
LL,956,371,43
LL,927,343,44
LL,918,296,45
LL,919,245,46
LL,931,196,47
LL,960,153,48
LL,998,131,49
H,615,902,0
H,579,829,1
H,572,755,2
H,583,685,3
H,616,615,4
H,658,556,5
H,706,525,6
H,759,511,7
H,810,509,8
H,857,512,9
H,908,512,10
H,957,511,11
H,1008,539,12
H,1060,602,13
H,1111,682,14
H,1154,754,15
H,1184,831,16
H,1195,912,17
H,1168,976,18
H,1111,1008,19
H,1040,1019,20
H,967,1026,21
H,892,1021,22
H,824,1010,23
H,755,993,24
H,682,957,25
